COUNTRY_PLAYER_ID	COUNTRY_ID	PLAYER_ID	USER_ID
411	2	401	kuroma
412	2	402	isa67
413	2	403	618st
414	2	404	otta
415	2	405	morino
416	2	406	helium
417	2	407	furioso
418	2	408	kiteretu
419	2	409	htj
420	2	410	benten
421	2	411	so129
422	2	412	momiji
423	2	413	nekonoude
424	2	414	djik7shu
425	2	415	Sinonome1023
426	2	416	nekoyanagi
427	2	417	toluku
428	2	418	tara
429	2	419	aochan
430	2	420	tevasaki
431	2	421	onigiriGirl
432	2	422	Re9
433	2	423	kokomyks
434	2	424	nameko
435	2	425	custard
436	2	426	tecchan
437	2	427	snowdrop
438	2	428	hatune
439	2	429	stacey_q
440	2	430	flux7put
441	2	431	babycar2016
442	2	432	mochi8
443	2	433	kujira33
444	2	434	seer
445	2	435	6rockB
446	2	436	trago
447	2	437	astemLemz
448	2	438	kajunya
449	2	439	pond71
450	2	440	anciel
451	2	441	ruri
452	2	442	kanashi
453	2	443	shoshinsha
454	2	444	nuot
455	2	445	banbii
456	2	446	xeno
457	2	447	cariomio
458	2	448	dem
459	2	449	remy
460	2	450	tikuzenni
461	2	451	prototype
462	2	452	tora
463	2	453	angelique
464	2	454	tvcat
465	2	455	zeke21
466	2	456	wtbbs
467	2	457	lia
468	2	458	tsubosan0123
469	2	459	swankuma
470	2	460	ookawa4
471	2	461	agota
472	2	462	purincipal
473	2	463	imoyu
474	2	464	case
475	2	465	texture
476	2	466	lihiter
477	2	207	ringooishii
478	2	467	Albert
479	2	468	rensenrenpai
480	2	469	uengk
481	2	470	chartreuse
482	2	471	pakutty
483	2	472	potohu
484	2	473	powan
485	2	474	kurukururi
486	2	475	lime
487	2	476	miruten622
488	2	477	leeks
489	2	478	makosai
490	2	479	charo
491	2	480	Maya
492	2	481	Last
493	2	482	Azuki100
494	2	483	kupfernickel
495	2	484	rurushi20
496	2	485	wM1873
497	2	486	pino
498	2	487	zoo
499	2	488	sango
500	2	489	gucchhhj
501	2	490	sssabiii
502	2	491	hna8523
503	2	492	gilbeys40
504	2	493	molecule
505	2	494	fong
506	2	495	shoe
507	2	496	wwwwwww
508	2	497	enigma-d7
509	2	498	sekigahara
510	2	499	maze
511	2	500	shodo_4
512	2	501	miruka
513	2	502	zousi
514	2	503	ten
515	2	504	mofudog
516	2	505	Liam12345
517	2	506	naoki_ng08
518	2	507	Sou
519	2	508	noa
520	2	509	hakodate
521	2	510	nekokomori
522	2	511	Annnnnyyi
523	2	512	chiiko
524	2	513	HELLO
525	2	514	kuku99
526	2	515	osakanaza
527	2	516	doreme
528	2	517	catspot
529	2	518	kazu1203
530	2	519	rei1412
531	2	520	furoito
532	2	521	SakanaTarou
533	2	522	takenokonoko
534	2	523	hidehide
535	2	524	ayaane_bo
536	2	525	kumapan1582
537	2	526	PoriUretan
538	2	527	ayaka1227
539	2	528	cosmedecorte
540	2	529	kiri1700
541	2	530	ryahoshi
542	2	531	ryomal
543	2	532	balloonDog
544	2	533	rinrin
545	2	534	prmg
546	2	535	tomonnke
547	2	536	umi_s
548	2	537	saki
549	2	538	suchan08
550	2	539	mina
551	2	540	cynthia
552	2	541	gallalla
553	2	542	ririko
554	2	543	koki0210
555	2	544	ymkw
556	2	545	gyut
557	2	546	Kuma0809
558	2	547	dohteki
559	2	548	saccki
560	2	549	omuraisu
561	2	550	aoihito
562	2	551	snowtofu
563	2	552	kuzuinuA
564	2	553	nbaws
565	2	554	hirock2012
566	2	555	uruse55
567	2	556	xena96
568	2	557	pan
569	2	558	oni
570	2	559	mashimaro
571	2	560	melo
572	2	561	zaggie
573	2	562	ulii
574	2	563	pespa
575	2	564	Shinrai
576	2	565	sweetish
577	2	566	COLETTE
578	2	567	zakoza
579	2	568	t_modoki
580	2	569	-jk
581	2	570	karaage
582	2	571	sunsun
583	2	572	178mc
584	2	573	bungaraya
585	2	574	raffaello
586	2	575	doradora
587	2	576	vvvvvvv
588	2	577	suzuri
589	2	578	harutyontyan
590	2	579	arthur0615
591	2	580	kayondmc
592	2	581	to-ko
593	2	582	CyanWiz
594	2	583	somo100
595	2	584	nameless
596	2	585	gustave13
597	2	586	task1180
598	2	587	abcdefgmart
599	2	588	al_aqxa
600	2	589	torino
601	2	590	ks5738tsg
602	2	591	riddle514
603	2	592	okatachi
604	2	593	NiflheimeR
605	2	594	Simon_Blanc
606	2	595	114002
607	2	596	tohka
608	2	597	yuyu23
609	2	598	gemuwoban
610	2	599	Penguin
611	2	600	mrinsugar
612	2	601	HinaGeshi
613	2	602	kumohati
614	2	603	shibranSK
615	2	604	valencia
616	2	605	kool
617	2	606	hiyuki
618	2	607	Nia
619	2	608	jay426
620	2	609	neneco
621	2	610	nekodog
622	2	611	shikao
623	2	612	mago_mago
624	2	613	guards
625	2	614	luftsan
626	2	615	ry122277
627	2	616	Helios
628	2	617	root-911
629	2	618	yuaya
630	2	619	airis
631	2	620	estchan
632	2	621	dnsm
